Hotel Name,Location,Rating,Review Score,Number of Reviews,Room Score,Room Type,Bed Type,Room Price(THB)
Paradise Resort Phi Phi-SHA Plus,"Long Beach, Phi Phi Islands",7.9,Good,448,9.0,Thai Modern Apartment,1 full bed,1514
S3 Siam Bangkok Hotel,"Pathumwan, Bangkok",8.2,Very Good,269,8.7,Superior King Room,1 king bed,1747
Haad Salad Villa,Salad Beach,8.6,Excellent,217,8.5,Standard Bungalow,1 queen bed,1037
Maven Stylish Hotel Hua Hin,Hua Hin,8.6,Excellent,142,9.3,Superior Double or Twin Room with City View,2 twin beds,1510
Sawasdee House,"Khaosan, Bangkok",7.7,Good,335,9.0,Superior Double Room with Window,1 queen bed,815
Casa De Mar - SHA Plus,"Chaweng Beachfront, Chaweng",8.2,Very Good,781,8.4,Superior Double or Twin Room,1 king bed,2388
Krabi La Playa Resort - SHA Plus,Ao Nang Beach,8.2,Very Good,141,8.6,Deluxe Double or Twin Room,1 double or 2 twins,1314
Luxury Apartment at Title Residencies Naiyang Beach,Phuket,7.3,Good,3,8.3,Apartment with Pool View,1 queen bed,760
I Pavilion Hotel Phuket - SHA Extra Plus,Phuket,8.5,Very Good,484,8.9,Superior Double or Twin Room,2 twin beds,703
Chura Samui - SHA Plus,"Chaweng Beachfront, Chaweng",8.2,Very Good,569,8.7,Grand Deluxe Double or Twin Room,Multiple bed types,1472
Sabaii Bay Resort,Ban Tai,7.2,Good,169,9.0,Standard Double or Twin Room,1 double or 2 twins,1075
Assava Dive Resort - SHA Plus,"Chalok Baan Kao, Ko Tao",8.5,Very Good,278,8.4,Superior Double Room,1 king bed,1089
Moondance Magic View Bungalow,Ko Tao,8.5,Very Good,220,8.5,Double Room with Balcony and Sea View,1 full bed,929
Buri Sriping Riverside Resort & Spa - SHA Extra Plus,"Wat Ket, Chiang Mai",9.1,Wonderful,88,9.4,Deluxe Room,1 king bed,2445
Armoni Patong Beach Hotel,Patong Beach,7.4,Good,201,9.0,Superior Double or Twin Room,1 double or 2 twins,546
Tharaburi Resort,"Mueang Kao, Sukhothai",8.4,Very Good,163,8.7,Deluxe Plus,1 king bed,1737
The Top Patong Resort,Patong Beach,6.3,Review score,135,9.0,Superior Double or Twin Room with City View,1 full bed,499
Patong Lodge Hotel - SHA Extra Plus,"Kalim Beach, Patong Beach",7.3,Good,1461,9.0,Triple Room with Balcony,"2 beds (1 twin, 1 queen)",987
Phi Phi Bayview Resort,"Tonsai Bay, Phi Phi Islands",7.2,Good,472,9.0,Premier Deluxe Villa,1 full bed,1084
V20 Boutique Jacuzzi Hotel - SHA Extra Plus,"Chatuchak, Bangkok",9.0,Wonderful,596,9.3,Family Room with Balcony,1 king bed,1216
"Anantasila Villa by the sea, Hua Hin - SHA Extra Plus","Khao Takiab, Hua Hin",8.9,Excellent,210,9.3,Double Room with Balcony and Pool View,2 queen beds,3304
U Sabai Living Hotel - SHA Certified,Patong Beach,8.7,Excellent,331,9.0,Standard Double Room,1 king bed,464
Khao thalu guest house,Ban Muang Wan,8.0,,545,9.0,Double Room with Garden View,1 king bed,582
Majestic Suites Hotel,"Khlong Toei, Bangkok",8.0,Very Good,914,8.4,Deluxe Room,1 full bed,1173
Muan Hotel,"Si Phum, Chiang Mai",8.6,Excellent,20,8.9,Family Room with Private Bathroom,"2 beds (1 full, 1 bunk bed)",988
Sabai Sabana - formerly Sabai Wing,Pattaya,7.6,Good,70,8.1,Standard Twin Room,2 twin beds,706
Marina House MUAYTHAI Ta-iad Phuket,Chalong,8.4,Very Good,44,8.5,Standard Double Room,1 queen bed,628
Koh Tao Cabana,"Sairee Beach, Ko Tao",8.8,Excellent,244,9.1,Cottage Treetop Villa,1 king bed,2678
Arize Hotel Sukhumvit,"Khlong Toei, Bangkok",7.4,Good,838,9.0,Deluxe Double Room,1 king bed,1337
AARIHA SUITES,Ao Nang Beach,6.9,Review score,66,9.0,Deluxe Double Room with Balcony,1 king bed,362
AARIHA SUITES,Ao Nang Beach,6.9,Review score,66,9.0,Deluxe Double Room with Balcony,1 king bed,362
Grace Hotel,"Wattana, Bangkok",6.5,Review score,954,9.0,Superior Double or Twin Room,Multiple bed types,962
Baan Hin Sai Resort & Spa - SHA Extra Plus,Chaweng Noi Beach,8.3,Very Good,126,8.2,Standard Double or Twin Room,1 double or 2 twins,1047
Papillon Resort,"Chaweng Beachfront, Chaweng",8.5,Very Good,222,8.6,Superior Bungalow,1 queen bed,831
Lanna Palace 2004,"Chang Khlan, Chiang Mai",6.1,Review score,25,9.0,Standard Twin Room,2 twin beds,496
Santhiya Koh Yao Yai Resort & Spa,Ko Yao Yai,8.6,Excellent,1083,8.9,Plus Round Trip Join Speedboat As Scheduled Transfer - Supreme Deluxe Sea View,1 queen bed,2630
SR Sea View Apartments,Patong Beach,6.8,Review score,106,9.0,Deluxe Double Room with Sea View,1 queen bed,416
Grand Orlov,Patong Beach,8.0,Very Good,17,9.0,Standard King Room,1 queen bed,682
Samed Cliff Resort,"Ao Noi Nha, Ko Samed",6.8,Review score,44,9.0,Standard Double Room,1 king bed,1677
Lanta Amara Resort,"Long Beach, Ko Lanta",9.4,Wonderful,63,9.7,Large Double Room,1 king bed,857
Nasa Bangkok - SHA PLUS Certified,Bangkok,7.9,Good,2688,8.1,Standard Double or Twin Room,1 double or 2 twins,469
