Hotel Name,Location,Rating,Review Score,Number of Reviews,Room Score,Room Type,Bed Type,Room Price(THB)
SALA Samui Choengmon Beach Resort - SHA Plus,Choeng Mon Beach,9.1,Wonderful,586,9.4,One-Bedroom Villa with Private Pool,1 queen bed,10299
Sivana Villas Hua Hin,Hua Hin,8.3,Very Good,204,8.7,2 Bedrooms Garden Pool Villa,"2 beds (1 king, 1 queen)",2720
"Fair House Villas & Spa, Koh Samui - SHA Extra Plus",Mae Nam,8.2,Very Good,268,8.3,Sunset Suite,1 full bed,3154
NK Residence Sakon Nakhon,Sakon Nakhon,8.2,Very Good,86,8.4,Standard Twin Room,2 twin beds,408
"Fair House Villas & Spa, Koh Samui - SHA Extra Plus",Mae Nam,8.2,Very Good,268,8.3,Sunset Suite,1 full bed,3154
NK Residence Sakon Nakhon,Sakon Nakhon,8.2,Very Good,86,8.4,Standard Twin Room,2 twin beds,408
Tanote Villa SHA Extra Plus,Ko Tao,8.4,Very Good,615,8.7,Deluxe Double or Twin Room with Garden View,Multiple bed types,1350
Aonang Silver Orchid Resort,Ao Nang Beach,7.9,Good,488,8.3,Superior Double Room,1 double or 2 twins,682
GLOW Sukhumvit 5,"Wattana, Bangkok",7.9,Good,551,8.4,Deluxe King Room,1 king bed,1479
ZONE STATIONS??????????thatphanom,That Phanom,8.1,Very Good,85,8.7,Twin Room with Bathroom,2 twin beds,443
Nak Nakara Hotel-SHA Extra Plus,Chiang Rai,8.7,Excellent,1109,8.9,Executive Deluxe Twin Room,2 twin beds,978
Hop Inn Phetchabun,Phetchabun,8.7,Excellent,181,9.1,Standard Double Room,1 queen bed,390
Sabai Corner Bungalows - SHA Extra Plus,Ko Yao Noi,8.4,Very Good,277,8.0,Bungalow with Garden View,1 queen bed,480
"Holiday Inn Pattaya, an IHG Hotel",Pattaya,8.6,Excellent,912,9.0,Standard Room,1 double or 2 twins,2250
HOMA Phuket Town,Phuket,9.1,Wonderful,471,9.4,Studio Classic,1 queen bed,957
Suporn Lakeview,Trakan Phut Phon,7.7,Good,19,8.2,Deluxe Apartment,"2 beds (1 king, 1 sofa bed)",408
Rimpao Hotel,Kalasin,6.6,Review score,117,9.0,Deluxe Double or Twin Room,"3 beds (2 twins, 1 full)",641
LG Lemon Grass,Na Jomtien,7.0,Good,87,9.0,Deluxe Double Room with Balcony and Sea View,1 king bed,1131
OYO 1044 Vassana Resort,Sattahip,7.3,Good,100,9.0,Superior Double Room,1 king bed,414
Viang Thapae Resort- SHA Extra Plus,"Chang Moi, Chiang Mai",8.8,Excellent,634,9.3,Superior Double Room,1 full bed,1032
AMPM Hotel,Sungai Kolok,8.0,Very Good,1,9.0,Double Room with Private Bathroom,1 king bed,418
SO Bangkok,"Bang Rak, Bangkok",8.4,Very Good,604,9.0,SO Cozy Double Room with City View,1 full bed,3082
The Duchess Hotel - SHA Plus,"Pathumwan, Bangkok",8.1,Very Good,1252,8.5,Superior One-Bedroom,1 king bed,2371
Noom Guesthouse,Lop Buri,8.1,Very Good,315,8.0,Double Room with Private Bathroom,1 full bed,320
Pawapi Beach Resort Koh Mook,Ko Mook,7.7,Good,174,9.0,Deluxe Bungalow with Sea View,1 queen bed,3088
"Holiday Inn Express Bangkok Sukhumvit 11, an IHG Hotel - Free Breakfast","Wattana, Bangkok",7.2,Good,480,9.0,Standard Double or Twin Room,1 double or 2 twins,1160
Chaweng Regent Beach Resort - SHA Extra Plus,"Chaweng City Center , Chaweng",8.0,Very Good,568,8.4,Deluxe Double or Twin Room,1 double or 2 twins,2522
Chomduen Phu Kao Resort,Non Sang,8.1,Very Good,48,8.2,Deluxe Queen Room,1 queen bed,291
The Opium Chiang Mai,"Chang Phueak, Chiang Mai",8.6,Excellent,1168,8.7,Studio,1 double or 2 twins,582
Sofitel Bangkok Sukhumvit,"Wattana, Bangkok",8.6,Excellent,568,9.1,Luxury Twin Room,2 twin beds,3624
SUhotel Suratthani,Suratthani,8.7,Excellent,197,9.1,Standard King Room,1 king bed,332
"Chanalai Romantica Resort - Adults Only, Kata Beach - SHA Plus",Kata Beach,8.7,Excellent,593,8.9,Superior Double or Twin Room,1 full bed,3353
Namkhong Guesthouse and Resort,Chiang Khong,7.9,Good,286,8.0,Standard Twin Room with Fan and Shared Bathroom,2 twin beds,175
"Staybridge Suites Bangkok Thonglor, an IHG Hotel","Wattana, Bangkok",8.8,Excellent,162,9.1,Studio Suite,2 twin beds,2066
Wisdom Hotel & Residence,Rayong,8.1,Very Good,373,8.6,Deluxe Pool View,1 full bed,812
Peeranon Resort,Ban Nong Khiam,8.5,Very Good,68,9.1,King Room,1 king bed,378
Novotel Bangkok Silom Road Hotel,"Bang Rak, Bangkok",7.0,Good,563,9.0,Superior Twin Room,2 twin beds,848
Rimtarn Resort,Mae Hong Son,7.4,Good,102,9.0,Standard Double or Twin Room,1 double or 2 twins,582
Crossroads house,Mae Hong Son,8.9,Excellent,414,8.7,Budget Twin Room,2 twin beds,277
The Nature Sukhothai,Sukhothai,8.3,Very Good,254,9.0,Superior Double Room,1 queen bed,445
Port Canary Airport Hotel,Lat Krabang,8.5,Very Good,1196,9.0,King Room with Balcony,1 king bed,789
"Interpark Hotel & Residence, Eastern Seaboard Rayong",Ban Phan Sadet Nok,7.7,Good,43,8.0,Standard Twin Room,2 twin beds,1019
Buri Tara Resort - SHA Extra Plus,Ao Nang Beach,8.1,Very Good,374,8.3,Superior Double Room with Balcony,1 double or 2 twins,811
Mercure Bangkok Makkasan,Bangkok,8.1,Very Good,36,9.1,Superior King Room,1 king bed,1223
Furama Silom Hotel,"Bang Rak, Bangkok",7.2,Good,1112,9.0,Deluxe Double or Twin Room,1 double or 2 twins,897
Sappraiwan Elephant Resort&Sanctuary,Kaengsopha,7.9,Good,25,9.0,Superior Room,1 double or 2 twins,2329
Grande Centre Point Pattaya,Pattaya,8.8,Excellent,1481,9.2,Panoramic Suite,1 king bed,5523
Wild Hippie Chang,Ban Nong Si Chaeng,9.6,Exceptional,5,8.0,Bungalow with Fan,1 queen bed,319
Na Nirand Romantic Boutique Resort,"Chang Khlan, Chiang Mai",9.2,Wonderful,203,9.4,Riverfront Colonial Suite,1 queen bed,14563
MELIÁ PHUKET MAI KHAO - SHA Plus,Mai Khao Beach,8.9,Excellent,496,9.5,One-Bedroom Wellness Villa with Private Pool,1 king bed,8671
Lipe Beach Resort,"Ko Lipe Sunrise Beach, Ko Lipe",8.0,Very Good,357,8.1,Garden Room Fan-No Hot Shower,1 queen bed,1118
Pupiang po Da Arte Resort,Dan Sai,9.2,Wonderful,45,9.6,Deluxe Room,1 king bed,1415
Oon Valley Farm Stay,Ban Mae Pha Haen,7.9,Good,32,8.4,Quadruple Room,4 twin beds,1060
The Royal Paradise Hotel & Spa - SHA Extra Plus,Patong Beach,7.8,Good,2626,8.2,Deluxe Double or Twin - Paradise Wing,Multiple bed types,1427
Novotel Phuket Resort,Patong Beach,7.7,Good,482,8.0,Superior Twin Room,2 twin beds,1389
Amari Koh Samui,"Chaweng Beachfront, Chaweng",8.4,Very Good,313,8.7,Superior King Room - Garden Wing,1 king bed,2422
Frankie's Inn - SHA Extra Plus,Jomtien Beach,7.8,Good,68,8.7,Deluxe King Studio,1 king bed,687
OYO 854 Baan Phuchalong,Phuket,7.4,Good,138,9.0,Superior Double Room,1 king bed,337
Conrad Bangkok,"Pathumwan, Bangkok",8.7,Excellent,590,9.1,Grand Premium King,1 king bed,4871
Ok Farm Resort,Det Udom,8.9,Excellent,34,9.2,Queen Room with Garden View,1 king bed,437
S.S.Hotel Nangrong,Nang Rong,8.1,Very Good,54,8.7,Standard Double Room,1 king bed,364
Gudi Boutique Hotel,Mae Rim,7.8,Good,138,8.1,Deluxe Double or Twin Room,Multiple bed types,548
Kept Bangsaray Hotel Pattaya,Bang Sare,8.7,Excellent,94,8.9,Deluxe Double Room,1 king bed,5625
Novotel Bangkok on Siam Square,"Pathumwan, Bangkok",7.3,Good,2647,9.0,Executive Double Room,1 king bed,3031
ASAI Bangkok Chinatown,"Chinatown, Bangkok",8.9,Excellent,1060,9.4,Roomy Queen Courtyard,1 king bed,1442
El Pillax Lanta Resort,"Klong Khong Beach, Ko Lanta",8.4,Very Good,249,9.1,Deluxe Bungalow,1 king bed,3785
Six Senses Samui,Choeng Mon Beach,9.0,Wonderful,110,9.3,Ocean View Pool Villa,1 queen bed,13373
Sinsiri hostel,Ban Ku,8.2,Very Good,8,9.0,Standard Twin Room,2 twin beds,362
Novotel Bangkok Ploenchit Sukhumvit,"Pathumwan, Bangkok",8.0,Very Good,964,8.4,Deluxe Twin Room,2 twin beds,2003
Royal Cliff Grand Hotel - SHA Extra Plus,Pattaya South,8.4,Very Good,246,8.8,Grand Sea View,Multiple bed types,2592
SYN Boutique Hotel,Chiang Mai,8.9,Excellent,243,9.4,Stylistic Twin Room,2 twin beds,2323
The Beach Village Resort,Sam Roi Yot,8.4,Very Good,130,8.7,One-Bedroom Garden Suite,1 full bed,1326
Phi Phi Relax Beach Resort,"Pak Nam Bay, Phi Phi Islands",8.1,Very Good,1288,8.1,Bungalow with Balcony,1 king bed,1887
Funwan Hotel,Li,8.2,Very Good,29,8.7,Standard King Room,1 king bed,409
The Quartier Boutique Hotel Sukhumvit 39 Bangkok by Compass Hospitality,"Wattana, Bangkok",8.2,Very Good,586,8.9,Premier Double Room,1 full bed,1357
Baan Bua Guest House,Chiang Rai,8.2,Very Good,311,8.0,Double or Twin Room with Fan,1 double or 2 twins,257
Pajamas Koh Chang,"Klong Prao Beach, Ko Chang",8.9,Excellent,295,9.1,Double Room with Garden View,1 queen bed,1104
DoubleTree by Hilton Bangkok Ploenchit - SHA Plus Certified,"Khlong Toei, Bangkok",8.5,Very Good,286,8.9,Twin Guest Room,2 twin beds,1960
Thames Tara Pool Villa Rawai Phuket - SHA Extra Plus,Rawai Beach,8.0,Very Good,207,8.2,3 Bedrooms Pool Villa,"6 beds (4 twins, 1 king, 1 sofa bed)",3144
????????????? - Me Vadsana Hotel,Ban Thung Yao,9.0,Wonderful,4,8.1,Standard Family Room,"2 beds (1 twin, 1 full)",460
Islanda Hideaway Resort - SHA Extra Plus,"Ko Klang, Krabi",8.8,Excellent,419,9.2,Garden View Bungalow Triple,"2 beds (1 full, 1 sofa bed)",1583
Park Villa Chaiyaphume,Chaiyaphum,8.5,Very Good,73,9.0,Double Room,1 king bed,541
COSI Pattaya Wong Amat Beach - SHA Plus Certified,North Pattaya,8.6,Excellent,253,8.9,COSI Room King,1 king bed,817
"Phuket Marriott Resort and Spa, Nai Yang Beach",Nai Yang Beach,8.7,Excellent,450,9.3,"Premium Pool Access, Guest room, 2 Double",2 queen beds,3628
Twin Bay Resort - SHA Extra Plus,"Ko Kwang Beach, Ko Lanta",8.6,Excellent,211,8.8,Deluxe Family Bungalow,"2 beds (1 bunk bed, 1 queen)",1834
Gallery Design - SHA Extra Plus,Si Sa Ket,8.0,Very Good,87,8.6,Deluxe Double Room,1 king bed,1019
Moracea by Khao Lak Resort - SHA Extra Plus,"Khao Lak Beach, Khao Lak",8.8,Excellent,502,9.2,Grand Deluxe Double or Twin Room,1 double or 2 twins,1698
Eden Bungalows Fisherman's village,"Fisherman Village, Bophut",8.9,Excellent,226,9.3,Classic Double Room,1 king bed,1106
OZO Chaweng Samui,"Chaweng City Center , Chaweng",8.3,Very Good,759,8.8,Deluxe King,1 king bed,2394
Anantara Riverside Bangkok Resort,"Thonburi, Bangkok",8.9,Excellent,608,9.2,Deluxe Room,Multiple bed types,4454
??????????????? Lung Bun Camp,Ban Nong Rang Chang,9.1,Wonderful,20,9.2,Tent,1 queen bed,990
Centara Koh Chang Tropicana Resort,"Klong Prao Beach, Ko Chang",8.3,Very Good,787,8.6,Deluxe Twin Room,2 twin beds,2166
Mercure Bangkok Sukhumvit 11,"Wattana, Bangkok",8.4,Very Good,867,9.0,Deluxe King Room,1 full bed,1943
JP Resort Koh Tao,"Chalok Baan Kao, Ko Tao",7.8,Good,383,9.0,Standard Bungalow with Sea View,1 full bed,406
Arcadia Maephim,Mae Pim,7.2,Good,101,9.0,Deluxe Executive Suite with Sea View-2 Bedrooms,"2 beds (1 full, 1 queen)",2600
Santhiya Tree Koh Chang Resort,"Klong Prao Beach, Ko Chang",8.8,Excellent,800,9.0,Villa Pool Access,1 queen bed,3012
Diamond Cottage Resort & Spa - SHA Extra Plus,Karon Beach,8.0,,545,9.0,Deluxe Double or Twin Room with Pool View,1 double or 2 twins,1366
Ban Chomdoi Resort PhaTang,Ban Pha Tang,8.3,Very Good,53,8.2,Tent,1 futon bed,233
Surin Sunset Hotel - SHA,Surin Beach,7.0,Good,206,9.0,Double Room with Balcony and Sea View,1 queen bed,1123
Novotel Phuket Vintage Park Resort,Patong Beach,8.0,Very Good,517,8.2,Superior Twin Room,2 twin beds,1335
Happy Land Residence,Ban Nam Cham,10.0,Exceptional,3,10.0,Double Room,1 full bed,790
Asia Hotel Bangkok,"Phaya Thai, Bangkok",7.6,Good,1027,9.0,Executive Double or Twin Room,2 twin beds,1056
Rawai Palm Beach Resort - SHA Extra Plus,Rawai Beach,7.7,Good,517,9.0,Deluxe Family Room with Pool View,1 double or 2 twins,2213
COSI Samui Chaweng Beach - SHA Plus,Chaweng,8.2,Very Good,374,8.8,COSI - KING Room with daily food & drink credit,1 king bed,1074
L'esprit De Naiyang Beach Resort - SHA Extra Plus,Nai Yang Beach,8.3,Very Good,853,8.7,One Bedroom Garden Villa (FREE One Way Airport Transfer),"2 beds (1 king, 1 sofa bed)",1333
Le Meridien Chiang Mai,"Chang Moi, Chiang Mai",8.6,Excellent,343,9.2,"Urban Room (K), Guest room, 1 King, Sofa bed","2 beds (1 king, 1 sofa bed)",2787
The Lord Nelson Hotel,"Phala Beach, Ban Chang",7.9,Good,150,8.3,Deluxe Family Suite,2 king beds,2995
Central Park Hotel,Sing Buri,7.4,Good,123,9.0,Standard Twin Room,2 twin beds,291
Hotel MYS Khao Yai,Mu Si,10.0,Exceptional,3,10.0,Suite,1 king bed,5620
LAKE HOUSE Naka Cave,Ban Don Klang,8.6,Excellent,8,9.1,Small Double Room,1 queen bed,1165
Neenlawat Riverside,Suratthani,8.6,Excellent,302,8.6,Standard Double Room,1 queen bed,576
??????? ??????? ????????? Deetorjai Resort,Chiang Muan,8.8,Excellent,5,9.5,Standard Queen Room,1 queen bed,368
Wellness Stay & Hotel Sukhumvit 107,Bangna,9.1,Wonderful,40,9.4,Superior Double Room,1 full bed,983
Racha Island Resort (Rayaburi),Ko Racha Yai,7.7,Good,138,8.0,Chino Pool View,1 double or 2 twins,2237
Phuruarounmai Organic Living Resort,Loei,8.1,Very Good,157,8.2,Deluxe Double Room with Balcony,1 queen bed,466
Pastell Oldtown Chiang Mai SHA Extra Plus,"Phra Sing, Chiang Mai",8.9,Excellent,356,9.2,Deluxe Double Room,1 king bed,1279
Midtown Sukhothai,Sukhothai,8.8,Excellent,169,9.2,Superior Twin Room,2 twin beds,738
SO Sofitel Hua Hin,Cha Am,8.3,Very Good,164,8.8,Two-Bedroom Villa with Private Pool,"3 beds (2 twins, 1 king)",11220
Beyond Resort Krabi,Klong Muang Beach,8.2,Very Good,340,8.2,Villa with Garden View,1 double or 2 twins,2553
MUTHI MAYA Forest Pool Villa Resort - SHA Plus Certified,Mu Si,9.0,Wonderful,403,9.2,One-Bedroom Villa with Private Pool,"2 beds (1 sofa bed, 1 queen)",5189
HR Resort,Ban Dong Bang,9.5,Exceptional,23,9.7,Deluxe Double Room with Shower,1 king bed,786
Avani Plus Koh Lanta Krabi Resort - SHA Extra Plus,"Ko Kwang Beach, Ko Lanta",8.9,Excellent,152,9.5,Pool View Room,1 king bed,2420
Seashell Resort Koh Tao-SHA Plus,"Sairee Beach, Ko Tao",7.2,Good,384,9.0,Bungalow with Fan,1 full bed,925
Baan Sawan Samui Resort,Chaweng Noi Beach,9.5,Exceptional,248,9.7,Two-Bedroom Villa,"3 beds (2 twins, 1 king)",2298
Wonderland Healing Center,Thong Sala,9.1,Wonderful,125,9.1,King Suite,1 king bed,3275
Lanta Seafront Resort,"Klong Nin Beach, Ko Lanta",8.0,Very Good,191,8.2,Deluxe Double Room,1 full bed,678
Holatel,Phitsanulok,7.9,Good,269,8.3,Deluxe Double Room,1 twin bed,714
The Landmark Bangkok - SHA Extra Plus,"Khlong Toei, Bangkok",8.7,Excellent,1314,9.1,Deluxe Suite,1 queen bed,5569
Le Meridien Khao Lak Resort & Spa,"Bangsak Beach, Khao Lak",8.9,Excellent,337,9.3,"Deluxe Pool View Twin, Deluxe Guest room, Pool view, Balcony",2 twin beds,1690
Holatel,Phitsanulok,7.9,Good,269,8.3,Deluxe Double Room,1 twin bed,714
The Landmark Bangkok - SHA Extra Plus,"Khlong Toei, Bangkok",8.7,Excellent,1314,9.1,Deluxe Suite,1 queen bed,5569
Le Meridien Khao Lak Resort & Spa,"Bangsak Beach, Khao Lak",8.9,Excellent,337,9.3,"Deluxe Pool View Twin, Deluxe Guest room, Pool view, Balcony",2 twin beds,1690
?????????????? ?????????,Ban Don Klang,8.9,Excellent,15,9.8,Double Room with Terrace,1 full bed,419
The Elysium Residence - SHA Extra Plus,Chalong,8.9,Excellent,98,9.3,Standard Double Room with Sea View,1 queen bed,765
The Desiign Hotel - SHA,"304 Industrial Park, Si Maha Phot",8.8,Excellent,48,9.0,Superior Double Room,1 king bed,862
David Residence- SHA Extra Plus,Nai Yang Beach,8.3,Very Good,806,8.7,Deluxe Double Room (Free Round Trip Airport Transfer),1 queen bed,933
Sukorn Andaman Beach Resort,Ko Sukon,9.0,Wonderful,39,8.6,Deluxe Bungalow with Fan,1 double or 2 twins,466
Naga Tara Boutique Resort,Phayao,8.2,Very Good,337,8.5,Standard Double Room,1 king bed,582
Gate43 Airport Hotel,Lat Krabang,8.2,Very Good,1722,8.7,Triple Room with Lake View,3 twin beds,1604
Railay Princess Resort & Spa-SHA Extra Plus,Railay Beach,7.8,Good,587,8.5,Superior Double or Twin Room,1 double or 2 twins,1256
BA? Apartment? Flow?Suvarnabhumi,Bang Phli,8.1,Very Good,566,8.4,Loft,1 king bed,393
Chatrium Grand Bangkok,"Pratunam, Bangkok",9.2,Wonderful,219,9.5,Premier Room,Multiple bed types,5503
Fanari Khaolak Resort - Courtyard SHA Extra Plus,"Bang Niang Beach, Khao Lak",7.9,Good,381,9.0,Deluxe Double Room with Pool View,1 queen bed,627
Haadson Resort & Koh Raham,Haad Son,7.5,Good,147,9.0,Deluxe Double or Twin Room with Balcony,1 double or 2 twins,1572
Phi Phi Holiday Resort-SHA Extra Plus,"Laem Tong Bay, Phi Phi Islands",7.9,Good,824,8.0,Coral Beach Studio,1 full bed,4171
The Hi Place,Roi Et,8.7,Excellent,115,8.9,King Suite with Balcony,"3 beds (1 king, 2 sofa beds)",1834
Panya Garden Resort,Ban Huai Na,7.1,Good,29,9.0,Double Room with Balcony,"2 beds (1 twin, 1 queen)",349
Diamond Beach Resort,Ao Nam Mao,7.3,Good,334,9.0,Superior Double Room,1 double or 2 twins,749
Novotel Bangkok Sukhumvit 20,"Khlong Toei, Bangkok",8.5,Very Good,1104,9.1,Executive Floor Deluxe King Room,1 full bed,2491
Hilton Sukhumvit Bangkok,"Khlong Toei, Bangkok",8.5,Very Good,540,9.1,Twin Deluxe Room,2 twin beds,2981
Sawadeelanna Hotel,Nan,8.4,Very Good,124,8.7,Double Room with Mountain View,1 king bed,629
Buasri Boutique Patong,"Nanai Road, Patong Beach",8.4,Very Good,379,8.7,King Room with Pool View,1 king bed,755
Le Patta Hotel Chiang Rai SHA Extra Plus,Chiang Rai,9.1,Wonderful,343,9.6,Deluxe Double Room,1 king bed,1658
JADAE HOUSE,Ban Huai Khai,9.7,Exceptional,3,10.0,Double Room with Mountain View,1 king bed,1232
kwanlah homestay,Mae Chaem,8.5,Very Good,172,8.4,Double Room with Terrace,"3 beds (1 twin, 2 fulls)",699
Ibis Phuket Kata,Kata Beach,7.9,Good,398,8.2,Standard Twin Room,2 twin beds,849
"Hotel Indigo Phuket Patong, an IHG Hotel - SHA Extra Plus",Patong Beach,8.8,Excellent,985,9.3,Standard Room,Multiple bed types,2336
Avista Hideaway Phuket Patong - MGallery,"Tri Trang Beach, Patong Beach",8.0,Very Good,158,8.4,"Deluxe Room King Bed, Garden View",1 queen bed,2381
Loei Palace Hotel,Loei,7.7,Good,199,9.0,Deluxe King Room,1 king bed,569
Karin hotel & Service apartment - SHA Extra Plus,Si Racha,8.6,Excellent,306,8.8,Premium Studio,1 king bed,1318
Centara Anda Dhevi Resort and Spa - SHA Plus,Ao Nang Beach,8.3,Very Good,198,8.5,Deluxe King Room,1 king bed,1028
Panphuree Residence - SHA Extra Plus,Nai Yang Beach,8.3,Very Good,1465,8.9,Deluxe Double Room,1 king bed,757
"Kacha Resort & Spa, Koh Chang - SHA Extra Plus","White Sand Beach, Ko Chang",8.0,Very Good,631,8.4,Hillside Deluxe Building,Multiple bed types,1527
Maitria Mode Sukhumvit 15 Bangkok - A Chatrium Collection,"Wattana, Bangkok",8.7,Excellent,833,9.1,Deluxe King Room,1 king bed,1926
Watermill Resort,Nong Nam Daeng,8.4,Very Good,59,8.7,Villa with Creek View,1 queen bed,1292
Phi Phi Harbour View Hotel-SHA Extra Plus,"Tonsai Bay, Phi Phi Islands",7.3,Good,605,9.0,Deluxe Triple Room,"2 beds (1 twin, 1 full)",3117
Baan Suan Chiva Saran,Nong Bua Lamphu,7.0,Good,10,8.2,Triple Room,"2 beds (1 twin, 1 queen)",320
"@ Border Hotel, Aranyaprateth",Aranyaprathet,7.6,Good,87,8.2,Standard Double Room,1 full bed,599
Darley Hotel Chiangmai,"Chang Moi, Chiang Mai",8.6,Excellent,178,8.9,Superior Twin Room,2 twin beds,678
Oakwood Suites Bangkok,"Khlong Toei, Bangkok",9.0,Wonderful,680,9.4,Premier Apartment,1 queen bed,3567
At Chiang Mai - SHA Extra Plus,"Si Phum, Chiang Mai",8.5,Very Good,742,8.8,Superior King or Twin Room,1 double or 2 twins,880
Samui Mermaid Beachfront,Bangrak Beach,7.3,Good,749,9.0,Standard Double Room with Fan,1 queen bed,460
Royal Nakhara Hotel and Convention Centre,Nong Khai,7.5,Good,190,9.0,Deluxe Double Room,1 queen bed,815
The Beachfront Hotel Phuket,Rawai Beach,7.5,Good,377,8.3,Superior Double or Twin Room,1 full bed,1048
M CASA HOTEL PATTAYA,Nong Prue,7.9,Good,241,8.1,Deluxe Room,1 twin bed,769
PAN KLED VILLA eco hill resort - SHA extra plus,Chiang Rai,8.8,Excellent,654,9.0,Classic Double,1 full bed,722
Mook Lamai Resort and Spa,Ko Mook,9.3,Wonderful,105,9.4,One-Bedroom Villa with  Pool View,1 queen bed,2911
Chour Palace Hotel,Mae Sai,8.4,Very Good,74,8.6,Deluxe Double Room,1 full bed,472
Phayamas Private Beach Resort and Island Brew,Ko Phayam,9.1,Wonderful,152,9.3,Double Bungalow with Fan,1 king bed,1145
Montien Hotel Surawong Bangkok,"Bang Rak, Bangkok",8.9,Excellent,652,9.3,Deluxe Twin Room,2 twin beds,2458
SeaRidge Hua Hin Resort & Poolvilla,Khao Tao,7.9,Good,49,8.3,Superior Two-Bedroom Suite with Balcony,"3 beds (2 twins, 1 queen)",3756
By Beach Resort,Ban Bang Po,7.8,Good,104,9.0,Bungalow with Air Conditioning,1 queen bed,674
Hilltop Wellness Resort,Phuket,8.3,Very Good,207,9.0,Superior Double or Twin Room with Pool View,Multiple bed types,1462
Villa San Pee Seua - SHA extra plus,"San Phi Suea, Chiang Mai",9.3,Wonderful,353,9.3,Family Suite,1 double or 2 twins,1887
Lamai Inn 99 Bungalows,Lamai,8.2,Very Good,556,8.3,Standard Double Room,1 king bed,688
"Holiday Inn Resort Krabi Ao Nang Beach, an IHG Hotel",Ao Nang Beach,8.3,Very Good,745,8.7,Standard Room,2 twin beds,1136
Brighton Grand Hotel Pattaya - SHA Extra Plus,North Pattaya,8.5,Very Good,422,8.9,Grand Deluxe Harbor View,Multiple bed types,1789
Alcove Bungalow,Hinkong,9.1,Wonderful,185,9.1,Deluxe Bungalow with Garden View,1 king bed,1555
Diamond Cave Resort,Railay Beach,6.8,Review score,1044,9.0,Standard Queen Room with Two Queen Beds,2 full beds,865
Armthong Home,Ban Nong Toei,8.6,Excellent,11,9.2,Villa with Garden View,"8 beds (4 twins, 3 kings, 1 sofa bed)",1397
??????,Ban Mae Khachan,8.8,Excellent,29,8.7,Deluxe Room,1 king bed,349
Lomsabai Apartments,Bangsaen,7.3,Good,133,9.0,Deluxe Double Room,1 queen bed,498
Koh Yao Yai Hillside Resort,Ko Yao Yai,9.0,Wonderful,129,9.4,Grand Superior Room,"2 beds (1 king, 1 sofa bed)",1580
Hotel Muse Bangkok Langsuan - MGallery,"Pathumwan, Bangkok",8.0,Very Good,912,8.4,Jatu Deluxe,1 king bed,2446
Hotel De Sripoom -SHA Extra Plus,"Si Phum, Chiang Mai",8.8,Excellent,811,9.0,Deluxe Double Room with Bath,1 king bed,1326
The Sarann - SHA Extra Plus,Chaweng Noi Beach,7.7,Good,289,8.2,Deluxe Double or Twin Room,2 twin beds,1399
Le Pes Villas,Khanom,8.8,Excellent,34,9.2,Triple Room with Terrace,"2 beds (1 twin, 1 queen)",1402
Hugga Pai,Pai,8.6,Excellent,191,8.9,Standard Double Room-High Floor,1 full bed,388
Top Hostel (Top Mansion),Udon Thani,7.8,Good,395,8.0,Deluxe Double Room,1 queen bed,393
Bangkok Marriott Hotel The Surawongse,"Bang Rak, Bangkok",9.2,Wonderful,1176,9.5,Two-Bedroom Residential Suite,"3 beds (2 twins, 1 king)",8790
Bualuang HOTEL,Ang Thong,5.0,Review score,42,9.0,Superior Double Room,1 queen bed,256
The Pier,Thong Sala,6.6,Review score,304,9.0,Bungalow with Fan,1 king bed,545
Chatrium Residence Sathon Bangkok,"Sathorn, Bangkok",8.7,Excellent,995,9.0,Deluxe One-Bedroom King,1 king bed,1942
Le Divine Comedie Beach Resort,Ban Tai,8.5,Very Good,262,8.6,Bungalow (2 Adults),1 queen bed,1268
The Pier,Thong Sala,6.6,Review score,304,9.0,Bungalow with Fan,1 king bed,545
Chatrium Residence Sathon Bangkok,"Sathorn, Bangkok",8.7,Excellent,995,9.0,Deluxe One-Bedroom King,1 king bed,1942
Le Divine Comedie Beach Resort,Ban Tai,8.5,Very Good,262,8.6,Bungalow (2 Adults),1 queen bed,1268
Surin Majestic Hotel,Surin,8.1,Very Good,276,8.4,Deluxe King Room,1 king bed,699
Rajthani Hotel - SHA Certified,Suratthani,8.1,Very Good,714,8.3,Standard Double Room,1 queen bed,343
Phu Pha Nam Resort,Dan Sai,7.0,Good,26,9.0,Standard Double or Twin Room,1 full bed,699
Oasis Koh Chang,"Lonely Beach, Ko Chang",8.7,Excellent,372,8.0,Bungalow with Fan,1 full bed,424
De Princess Hotel Udonthani,Udon Thani,9.0,Wonderful,271,9.4,Superior Double Room,1 king bed,1116
Nantrungjai Boutique Hotel,Nan,8.7,Excellent,68,8.9,Boutique Room,Multiple bed types,837
"Vana Belle, A Luxury Collection Resort, Koh Samui","Chaweng Noi Beachfront, Chaweng Noi Beach",9.3,Wonderful,100,9.4,"Premium Ocean Pool, 1 Bedroom Suite, 1 King, Sofa bed","2 beds (1 king, 1 sofa bed)",12446
Grande Centre Point Hotel Terminal21,"Wattana, Bangkok",8.6,Excellent,1007,9.0,Grand Suite Double Room,1 queen bed,5672
The Passage Samui Pool Villas with Private Beach,Ban Bang Po,7.9,Good,108,8.4,Villa with Garden View,Multiple bed types,2142
Sriwilai Sukhothai,"Mueang Kao, Sukhothai",8.7,Excellent,239,9.1,Superior Double Room,1 full bed,1703
